,Placebo,Prebiotic
KCAL,180,180
PROT,2,2
TFAT,6,7
CARB,32,36
MOIS,,
ALC,,
CAFF,,
THEO,,
SUGR,11,12
FIBE,1,9
CALC,14,13
IRON,1,1
MAGN,,
PHOS,,
POTA,111,123
SODI,40,40
ZINC,,
COPP,,
SELE,,
VC,,
VB1,,
VB2,,
NIAC,,
VB6,,
FOLA,,
FA,,
FF,,
FDFE,,
VB12,,
VARA,,
RET,,
BCAR,,
ACAR,,
CRYP,,
LYCO,,
LZ,,
ATOC,,
VK,,
CHOLE,,
SFAT,3.5,4
S040,,
S060,,
S080,,
S100,,
S120,,
S140,,
S160,,
S180,,
MFAT,,
M161,,
M181,,
M201,,
M221,,
PFAT,,
P182,,
P183,,
P184,,
P204,,
P205,,
P225,,
P226,,
VITD,0,0
CHOLN,,
VITE_ADD,,
B12_ADD,,
F_TOTAL,,
F_CITMLB,,
F_OTHER,,
F_JUICE,,
V_TOTAL,,
V_DRKGR,,
V_REDOR_TOTAL,,
V_REDOR_TOMATO,,
V_REDOR_OTHER,,
V_STARCHY_TOTAL,,
V_STARCHY_POTATO,,
V_STARCHY_OTHER,,
V_OTHER,,
V_LEGUMES,,
G_TOTAL,,
G_WHOLE,,
G_REFINED,,
PF_TOTAL,,
PF_MPS_TOTAL,,
PF_MEAT,,
PF_CUREDMEAT,,
PF_ORGAN,,
PF_POULT,,
PF_SEAFD_HI,,
PF_SEAFD_LOW,,
PF_EGGS,,
PF_SOY,,
PF_NUTSDS,,
PF_LEGUMES,,
D_TOTAL,,
D_MILK,,
D_YOGURT,,
D_CHEESE,,
OILS,,
SOLID_FATS,,
ADD_SUGARS,6,7
A_DRINKS,,
